mode,metric,count,success_count,failed_count,success_rate,mean,stddev,min,max,p50,p95,measurement_kind,unit
aort-r@0,agent_wait_ms,20,20,0,1.000000,0.006000,0.000000,0.006000,0.006000,0.006000,0.006000,derived,ms
aort-r@0,bytes_avoided,20,20,0,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,derived,bytes
aort-r@0,bytes_transferred,20,20,0,1.000000,24576.000000,0.000000,24576.000000,24576.000000,24576.000000,24576.000000,measured,bytes
aort-r@0,fairness,20,20,0,1.000000,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000,derived,jain
aort-r@0,ipc_p50_ms,20,20,0,1.000000,0.001000,0.000000,0.001000,0.001000,0.001000,0.001000,measured,ms
aort-r@0,ipc_p95_ms,20,20,0,1.000000,0.001000,0.000000,0.001000,0.001000,0.001000,0.001000,measured,ms
aort-r@0,logical_context_bytes,20,20,0,1.000000,24576.000000,0.000000,24576.000000,24576.000000,24576.000000,24576.000000,measured,bytes
aort-r@0,materialized_bytes,20,20,0,1.000000,24576.000000,0.000000,24576.000000,24576.000000,24576.000000,24576.000000,measured,bytes
aort-r@0,page_hit_ratio,20,20,0,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,derived,ratio
aort-r@0,peak_rss_bytes,20,20,0,1.000000,2433621.200000,1169147.739576,923168.000000,3761360.000000,3139164.000000,3733300.800000,unsupported,bytes
aort-r@0,physical_bytes_written,20,20,0,1.000000,24576.000000,0.000000,24576.000000,24576.000000,24576.000000,24576.000000,measured,bytes
aort-r@0,prefix_affinity_hits,20,20,0,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,measured,hits
aort-r@0,private_pages,20,20,0,1.000000,6.000000,0.000000,6.000000,6.000000,6.000000,6.000000,measured,pages
aort-r@0,saved_bytes,20,20,0,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,derived,bytes
aort-r@0,shared_pages,20,20,0,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,measured,pages
aort-r@0,shared_ratio,20,20,0,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,measured,ratio
aort-r@0,throughput_agents_per_sec,20,20,0,1.000000,6000.000000,0.000000,6000.000000,6000.000000,6000.000000,6000.000000,derived,agents/s
aort-r@0,total_completion_ms,20,20,0,1.000000,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000,measured,ms
aort-r@25,agent_wait_ms,20,20,0,1.000000,0.006000,0.000000,0.006000,0.006000,0.006000,0.006000,derived,ms
aort-r@25,bytes_avoided,20,20,0,1.000000,6080.000000,0.000000,6080.000000,6080.000000,6080.000000,6080.000000,derived,bytes
aort-r@25,bytes_transferred,20,20,0,1.000000,18496.000000,0.000000,18496.000000,18496.000000,18496.000000,18496.000000,measured,bytes
aort-r@25,fairness,20,20,0,1.000000,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000,derived,jain
aort-r@25,ipc_p50_ms,20,20,0,1.000000,0.001000,0.000000,0.001000,0.001000,0.001000,0.001000,measured,ms
aort-r@25,ipc_p95_ms,20,20,0,1.000000,0.001000,0.000000,0.001000,0.001000,0.001000,0.001000,measured,ms
