mode,metric,count,success_count,failed_count,success_rate,mean,stddev,min,max,p50,p95,measurement_kind,unit
aort-r,cleanup_ms,20,20,0,1.000000,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000,measured,ms
aort-r,cross_agent_contamination,20,20,0,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,measured,bool
aort-r,fault_containment_scope,20,20,0,1.000000,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000,measured,agents
aort-r,fault_detection_ms,20,20,0,1.000000,5.900000,5.743692,1.000000,15.000000,3.500000,15.000000,measured,ms
aort-r,lowerdir_hash_unchanged,20,20,0,1.000000,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000,measured,bool
aort-r,memory_peak_bytes,20,20,0,1.000000,1858380.000000,1039280.146389,451400.000000,2927224.000000,2577424.000000,2861278.800000,measured,bytes
aort-r,normal_agent_completion_rate,20,20,0,1.000000,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000,measured,ratio
aort-r,normal_completion_p50_ms,20,20,0,1.000000,2.350000,0.653835,1.000000,4.000000,2.000000,3.050000,measured,ms
aort-r,normal_completion_p95_ms,20,20,0,1.000000,2.790000,0.530943,2.000000,4.000000,3.000000,3.620000,measured,ms
aort-r,pids_peak,20,20,0,1.000000,6.000000,0.000000,6.000000,6.000000,6.000000,6.000000,measured,processes
aort-r,recovery_ms,20,20,0,1.000000,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000,measured,ms
aort-r,resource_sampler_mode,20,20,0,1.000000,18.000000,0.000000,18.000000,18.000000,18.000000,18.000000,derived,degraded+workspace
aort-r,task_success,20,20,0,1.000000,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000,measured,bool
baseline,cleanup_ms,20,20,0,1.000000,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000,measured,ms
baseline,cross_agent_contamination,20,20,0,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,measured,bool
baseline,fault_containment_scope,20,20,0,1.000000,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000,measured,agents
baseline,fault_detection_ms,20,20,0,1.000000,5.650000,5.729529,1.000000,15.000000,3.000000,15.000000,measured,ms
baseline,lowerdir_hash_unchanged,20,20,0,1.000000,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000,measured,bool
baseline,memory_peak_bytes,20,20,0,1.000000,2656105.200000,145193.966933,2414048.000000,2895800.000000,2667192.000000,2852160.800000,measured,bytes
baseline,normal_agent_completion_rate,20,20,0,1.000000,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000,measured,ratio
baseline,normal_completion_p50_ms,20,20,0,1.000000,2.100000,0.435890,1.000000,3.000000,2.000000,3.000000,measured,ms
baseline,normal_completion_p95_ms,20,20,0,1.000000,2.700000,0.538516,2.000000,3.800000,2.800000,3.800000,measured,ms
baseline,pids_peak,20,20,0,1.000000,6.000000,0.000000,6.000000,6.000000,6.000000,6.000000,measured,processes
baseline,recovery_ms,20,20,0,1.000000,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000,measured,ms
baseline,resource_sampler_mode,20,20,0,1.000000,8.000000,0.000000,8.000000,8.000000,8.000000,8.000000,derived,degraded
baseline,task_success,20,20,0,1.000000,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000,measured,bool
isolation-only,cleanup_ms,20,20,0,1.000000,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000,measured,ms
isolation-only,cross_agent_contamination,20,20,0,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,measured,bool
isolation-only,fault_containment_scope,20,20,0,1.000000,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000,measured,agents
isolation-only,fault_detection_ms,20,20,0,1.000000,5.500000,5.722762,1.000000,15.000000,3.000000,15.000000,measured,ms
isolation-only,lowerdir_hash_unchanged,20,20,0,1.000000,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000,measured,bool
isolation-only,memory_peak_bytes,20,20,0,1.000000,2716179.600000,137566.863277,2499520.000000,2900784.000000,2736964.000000,2891588.000000,measured,bytes
isolation-only,normal_agent_completion_rate,20,20,0,1.000000,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000,measured,ratio
isolation-only,normal_completion_p50_ms,20,20,0,1.000000,2.050000,0.384057,1.000000,3.000000,2.000000,3.000000,measured,ms
isolation-only,normal_completion_p95_ms,20,20,0,1.000000,2.430000,0.910549,2.000000,6.000000,2.000000,3.150000,measured,ms
isolation-only,pids_peak,20,20,0,1.000000,6.000000,0.000000,6.000000,6.000000,6.000000,6.000000,measured,processes
isolation-only,recovery_ms,20,20,0,1.000000,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000,measured,ms
isolation-only,resource_sampler_mode,20,20,0,1.000000,8.000000,0.000000,8.000000,8.000000,8.000000,8.000000,derived,degraded
isolation-only,task_success,20,20,0,1.000000,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000,measured,bool
